,x,y,label,href,title,author
0,0.36142334,-1.3842119,"['Street art', 'graffiti', '2000']",./artworks/images/Police_Banksy.jpg,Police,Banksy
1,0.37319648,-1.402567,"['Street art', 'graffiti', '2001']",./artworks/images/Insane Clown_Banksy.jpg,Insane Clown,Banksy
2,0.3729218,-1.3632728,"['Street art', 'graffiti', '2002']",./artworks/images/Laugh Now_Banksy.jpg,Laugh Now,Banksy
3,0.38902563,-1.4351268,"['Street art', 'graffiti', '2003']",./artworks/images/Parachuting Rat_Banksy.jpg,Parachuting Rat,Banksy
4,0.38902563,-1.4351267,"['Street art', 'graffiti', '2003']",./artworks/images/Think Tank_Banksy.jpg,Think Tank,Banksy
5,0.40539518,-1.406228,"['Street art', 'graffiti', '2004']","./artworks/images/Brick Lane, East End_Banksy.jpg","Brick Lane, East End",Banksy
6,0.43858236,-1.37612,"['Street art', 'graffiti', '2005']",./artworks/images/Bethlehem_Banksy.jpg,Bethlehem,Banksy
7,0.43858597,-1.3761206,"['Street art', 'graffiti', '2005']",./artworks/images/Death_Banksy.jpg,Death,Banksy
8,0.43858236,-1.37612,"['Street art', 'graffiti', '2005']",./artworks/images/Hitchhiker to Anywhere Archway_Banksy.jpg,Hitchhiker to Anywhere Archway,Banksy
9,-0.32677153,-1.0378307,"['Conceptual Art', 'installation', '2005']",./artworks/images/Vandalised Phone Box_Banksy.jpg,Vandalised Phone Box,Banksy
10,-0.27299199,-0.8622629,"['Conceptual Art', 'portrait', '2006']",./artworks/images/Pie Face_Banksy.jpg,Pie Face,Banksy
11,-0.3226357,-0.9992801,"['Conceptual Art', 'installation', '2006']",./artworks/images/Warning Sign_Banksy.jpg,Warning Sign,Banksy
12,-0.11437155,-0.7133928,"['Conceptual Art', 'figurative', '2007']",./artworks/images/I Can't Believe You Morons Actually Buy This Shit_Banksy.jpg,I Can't Believe You Morons Actually Buy This Shit,Banksy
13,-0.11292657,-0.67981714,"['Conceptual Art, Street art', 'figurative', '2007']",./artworks/images/Keep It Spotless (Defaced Hirst)_Banksy.jpg,Keep It Spotless (Defaced Hirst),Banksy
14,-0.11437361,-0.7134069,"['Conceptual Art', 'figurative', '2007']",./artworks/images/Ruined Landscape_Banksy.jpg,Ruined Landscape,Banksy
15,0.3249958,-1.4135729,"['Street art', 'graffiti', '2008']",./artworks/images/Girl seized by an ATM_Banksy.jpg,Girl seized by an ATM,Banksy
16,0.32501388,-1.4135758,"['Street art', 'graffiti', '2008']",./artworks/images/It's Not A Race_Banksy.jpg,It's Not A Race,Banksy
17,0.324994,-1.4135714,"['Street art', 'graffiti', '2008']",./artworks/images/No Loitering_Banksy.jpg,No Loitering,Banksy
18,0.28997496,-1.4282334,"['Conceptual Art, Street art', 'graffiti', '2008']",./artworks/images/One nation under CCTV_Banksy.jpg,One nation under CCTV,Banksy
19,-0.37729666,-1.1849037,"['Neo-Dada', 'installation', '1955']",./artworks/images/Tokyo Work_Atsuko Tanaka.jpg,Tokyo Work,Atsuko Tanaka
20,-0.3773754,-1.1847057,"['Neo-Dada', 'installation', '1956']",./artworks/images/Electric Dress_Atsuko Tanaka.jpg,Electric Dress,Atsuko Tanaka
21,-0.98190695,-1.9203024,"['Abstract Expressionism', 'abstract', '1961']",./artworks/images/Untitled_Atsuko Tanaka.jpg,Untitled,Atsuko Tanaka
22,-1.0176836,-1.8797932,"['Abstract Expressionism', 'abstract', '1963']",./artworks/images/Untitled_Atsuko Tanaka.jpg,Untitled,Atsuko Tanaka
23,-1.0202886,-1.8977109,"['Abstract Expressionism', 'abstract', '1964']",./artworks/images/Untitled_Atsuko Tanaka.jpg,Untitled,Atsuko Tanaka
24,-1.072712,-1.9733685,"['Abstract Expressionism', 'abstract', '1976']",./artworks/images/Untitled_Atsuko Tanaka.jpg,Untitled,Atsuko Tanaka
25,-0.9896898,-1.9342558,"['Abstract Expressionism', 'abstract', '1980']",./artworks/images/1980 - D4_Atsuko Tanaka.jpg,1980 - D4,Atsuko Tanaka
26,-1.0523485,-1.8477988,"['Abstract Expressionism', 'abstract', '1984']",./artworks/images/77R-‘84_Atsuko Tanaka.jpg,77R-‘84,Atsuko Tanaka
27,-1.0522578,-1.8477738,"['Abstract Expressionism', 'abstract', '1984']",./artworks/images/Untitled_Atsuko Tanaka.jpg,Untitled,Atsuko Tanaka
28,-0.9947289,-1.9820917,"['Abstract Expressionism', 'abstract', '1989']",./artworks/images/89a_Atsuko Tanaka.jpg,89a,Atsuko Tanaka
29,-0.9947266,-1.9820826,"['Abstract Expressionism', 'abstract', '1989']",./artworks/images/89m_Atsuko Tanaka.jpg,89m,Atsuko Tanaka
30,-1.0143707,-1.9171516,"['Abstract Expressionism', 'abstract', '1992']",./artworks/images/Work_Atsuko Tanaka.jpg,Work,Atsuko Tanaka
31,-0.9486473,-1.9541835,"['Abstract Expressionism', 'abstract', '1993']",./artworks/images/93E_Atsuko Tanaka.jpg,93E,Atsuko Tanaka
32,-0.948646,-1.9541835,"['Abstract Expressionism', 'abstract', '1993']",./artworks/images/Untitled (Painted with Akira Kanayama)_Atsuko Tanaka.jpg,Untitled (Painted with Akira Kanayama),Atsuko Tanaka
33,-0.99102086,-1.9012583,"['Abstract Expressionism', 'abstract', '1999']",./artworks/images/Untitled_Atsuko Tanaka.jpg,Untitled,Atsuko Tanaka
34,-1.0031792,-1.946967,"['Abstract Expressionism', 'abstract', '2002']",./artworks/images/To New York-Vancouver_Atsuko Tanaka.jpg,To New York-Vancouver,Atsuko Tanaka
35,0.9213222,0.74547195,"['Post-Impressionism', 'cityscape', '1930']",./artworks/images/Terrace in Balcic_Acontz Nutzi.jpg,Terrace in Balcic,Acontz Nutzi
36,0.8229452,0.6700579,"['Post-Impressionism', 'interior', '1947']",./artworks/images/Interior in Sozopol_Acontz Nutzi.jpg,Interior in Sozopol,Acontz Nutzi
37,0.6573,0.5724495,"['Post-Impressionism', 'genre painting', '1948']",./artworks/images/Horseshoeing_Acontz Nutzi.jpg,Horseshoeing,Acontz Nutzi
38,0.46145403,0.79603183,"['Impressionism', 'landscape', '1954']",./artworks/images/Landscape With River_Acontz Nutzi.jpg,Landscape With River,Acontz Nutzi
39,0.45394805,0.7892037,"['Impressionism', 'landscape', '1879']",./artworks/images/Flowering field_Andreescu Ion.jpg,Flowering field,Andreescu Ion
40,0.3106773,0.7701398,"['Impressionism', 'self-portrait', '1882']",./artworks/images/Self Portrait_Andreescu Ion.jpg,Self Portrait,Andreescu Ion
41,-0.2629858,0.7079065,"['Realism', 'portrait', '1882']",./artworks/images/Portrait of woman in a costume_Andreescu Ion.jpg,Portrait of woman in a costume,Andreescu Ion
42,0.6074389,0.5334558,"['Cubism', 'genre painting', '1946']",./artworks/images/The Uncoupling of the Hounds_Bearden Romare.jpg,The Uncoupling of the Hounds,Bearden Romare
43,0.61431366,0.5388232,"['Cubism', 'genre painting', '1948']",./artworks/images/The Family_Bearden Romare.jpg,The Family,Bearden Romare
44,-0.9317894,-1.8984116,"['Abstract Expressionism', 'abstract', '1959']",./artworks/images/Untitled_Bearden Romare.jpg,Untitled,Bearden Romare
45,-0.93172014,-1.8985193,"['Abstract Expressionism', 'abstract', '1959']",./artworks/images/Untitled_Bearden Romare.jpg,Untitled,Bearden Romare
46,-0.93169665,-1.8984971,"['Abstract Expressionism', 'abstract', '1959']",./artworks/images/Untitled_Bearden Romare.jpg,Untitled,Bearden Romare
47,-0.9316971,-1.898529,"['Abstract Expressionism', 'abstract', '1959']",./artworks/images/Untitled_Bearden Romare.jpg,Untitled,Bearden Romare
48,0.6003047,0.40955254,"['Outsider art, Social Realism', 'cityscape', '1964']",./artworks/images/Spring Way_Bearden Romare.jpg,Spring Way,Bearden Romare
49,0.57117355,0.4054324,"['Outsider art, Social Realism', 'genre painting', '1964']",./artworks/images/Pittsburgh Memory_Bearden Romare.jpg,Pittsburgh Memory,Bearden Romare
50,0.5026107,0.33177742,"['Outsider art, Pop Art', 'genre painting', '1970']",./artworks/images/Patchwork Quilt_Bearden Romare.jpg,Patchwork Quilt,Bearden Romare
51,0.54193753,0.38970333,"['Outsider art, Social Realism', 'genre painting', '1970']",./artworks/images/The Calabash_Bearden Romare.jpg,The Calabash,Bearden Romare
