,x,y,label,href,title,author
0,1.8245972,1.0636753,"['2000', 'graffiti', 'Street art']",./artworks/images/Police_Banksy.jpg,Police,Banksy
1,1.8100706,1.0951561,"['2001', 'graffiti', 'Street art']",./artworks/images/Insane Clown_Banksy.jpg,Insane Clown,Banksy
2,1.8528475,1.0900592,"['2002', 'graffiti', 'Street art']",./artworks/images/Laugh Now_Banksy.jpg,Laugh Now,Banksy
3,1.7751153,1.14367,"['2003', 'MelbourneAustralia', 'graffiti', 'Street art']",./artworks/images/Parachuting Rat_Banksy.jpg,Parachuting Rat,Banksy
4,1.784513,1.133372,"['2003', 'graffiti', 'Street art']",./artworks/images/Think Tank_Banksy.jpg,Think Tank,Banksy
5,1.8458328,1.1058197,"['2004', 'graffiti', 'Street art']","./artworks/images/Brick Lane, East End_Banksy.jpg","Brick Lane, East End",Banksy
6,1.899809,1.1135342,"['2005', 'graffiti', 'Street art']",./artworks/images/Bethlehem_Banksy.jpg,Bethlehem,Banksy
7,1.8998055,1.1135329,"['2005', 'graffiti', 'Street art']",./artworks/images/Death_Banksy.jpg,Death,Banksy
8,1.899809,1.113534,"['2005', 'graffiti', 'Street art']",./artworks/images/Hitchhiker to Anywhere Archway_Banksy.jpg,Hitchhiker to Anywhere Archway,Banksy
9,1.014866,0.7462701,"['2005', 'installation', 'Conceptual Art']",./artworks/images/Vandalised Phone Box_Banksy.jpg,Vandalised Phone Box,Banksy
10,0.99823236,0.6012541,"['2006', 'portrait', 'Conceptual Art']",./artworks/images/Pie Face_Banksy.jpg,Pie Face,Banksy
11,0.9985049,0.6849025,"['2006', 'installation', 'Conceptual Art']",./artworks/images/Warning Sign_Banksy.jpg,Warning Sign,Banksy
12,1.4668456,0.4980153,"['2007', 'figurative', 'Conceptual Art']",./artworks/images/I Can't Believe You Morons Actually Buy This Shit_Banksy.jpg,I Can't Believe You Morons Actually Buy This Shit,Banksy
13,1.4852585,0.5076592,"['2007', 'figurative', ['Conceptual Art', ' Street art'], ['Conceptual Art', ' Street art']]",./artworks/images/Keep It Spotless (Defaced Hirst)_Banksy.jpg,Keep It Spotless (Defaced Hirst),Banksy
14,1.466847,0.49799502,"['2007', 'figurative', 'Conceptual Art']",./artworks/images/Ruined Landscape_Banksy.jpg,Ruined Landscape,Banksy
