,x,y,distance,source,airline
32318,-2.0941212,-7.751055,1234.2057876783954,BCN,IB
32197,11.378999,-34.7506,2075.8681043880288,AGP,IB
16469,5.3532276,22.08585,594.9368954305801,JIU,CA
66762,4.63948,23.299032,564.1709662419781,CTU,ZH
45175,6.3395734,-23.467686,1647.7053646876889,TAO,OZ
12013,-14.58146,26.946262,600.4217532554477,SMF,AS
8488,-0.14973876,-24.149359,1562.2694838576767,YYZ,AC
32925,9.5124445,-33.22805,1970.5019279952976,SVG,IB
36346,0.3773599,40.495728,133.36375513525203,ATL,KL
44410,25.024155,-42.287567,2963.301670798284,GYD,OK
13687,14.377995,-36.752277,2229.565679627245,SVO,AZ
18497,5.2154326,-4.574848,1154.1115823570537,HAK,CZ
50545,11.051341,-32.936268,2012.8227250416085,SIN,SQ
56325,-16.021034,1.344786,971.4604444479179,EWR,UA
56706,13.490402,-35.397396,2162.882663341413,IAH,UA
17250,6.685042,2.6561503,999.8782546601542,YNT,CA
25346,7.160783,-32.39745,1877.428621786554,MSY,FL
17027,6.04098,15.181401,734.7503665913746,TNA,CA
66714,4.1572256,-15.766863,1432.3295344844057,CKG,ZH
50489,23.351355,-41.15131,2802.1160076904803,LAX,SQ
19452,4.578675,27.175455,474.4215642218185,YIH,CZ
40507,30.527407,-45.402412,3661.123815352549,BKI,MH
36492,6.3284125,16.878218,703.3573400896196,BKK,KL
42257,5.168672,-5.495583,1176.7569329512057,SHE,MU
20627,-17.001385,5.906657,893.2933125302113,DTW,DL
18819,5.472759,-3.509941,1127.7527258624211,MFM,CZ
25319,9.262733,-34.5285,2003.7822750096718,MKE,FL
67106,9.365222,-30.61804,1888.7060703349623,PEK,ZH
56783,-9.627848,32.5304,484.6439036839163,IAH,UA
63753,0.7836141,-26.210054,1634.2698995698706,DFW,WN
24918,-13.214334,-5.033295,1096.541870155329,BHM,FL
6749,-1.5385339,-24.50386,1536.9096838729727,SEA,AA
4670,-16.0811,15.692962,753.0295420273412,AGS,AA
32846,-3.198158,14.437064,711.5818654965973,OVD,IB
42163,6.2113023,2.7643614,998.9486784761725,PVG,MU
60294,11.143863,-35.86125,2124.9691324193172,RTB,US
36363,-12.408049,28.511013,563.5671813013656,ATL,KL
36364,-15.394661,19.442225,696.3169163964758,ATL,KL
25290,0.9678826,-27.048107,1668.413037718252,MDW,FL
56721,-6.1915493,33.957912,407.1767878809261,IAH,UA
60500,-7.3061256,-13.043703,1292.2599215386977,YUL,US
64610,29.964369,-44.014782,3493.9481090046993,LAX,WS
20431,-4.873697,36.79862,354.93147067552974,CID,DL
66667,5.953431,5.1257997,954.0365165696898,CAN,ZH
8200,-10.9819145,29.911203,532.4333282076734,YUL,AC
10933,10.472545,-35.382904,2077.948452850371,CUN,AM
36651,-5.9884763,36.10476,386.3731483179364,GTR,KL
25470,0.4916873,-26.709188,1645.0658311574025,SEA,FL
42272,6.124742,0.8262938,1038.4231560434778,SJW,MU
32944,10.592566,-34.23181,2038.4901013345757,TFN,IB
6874,6.164198,-4.9915986,1164.1385075760948,SYD,AA
6765,-0.9203616,-25.275927,1576.0998510924833,SEA,AA
16653,3.9470675,-11.037549,1317.625522704851,NNG,CA
66639,4.2088814,-8.549793,1247.5434814612522,CAN,ZH
19019,6.086556,12.20199,804.1439647011956,SHA,CZ
36200,-3.3113146,13.673079,734.4065638802332,AMS,KL
25066,6.268453,-32.31279,1847.1542943727388,DSM,FL
13747,-2.69216,4.8184533,936.9093615891178,VCE,AZ
37547,-10.872026,-7.767885,1163.6353799800982,ADZ,LA
6763,-13.514716,-7.0641594,1121.986783009741,SEA,AA
48565,33.0789,-47.076157,4897.107755916821,DME,S7
18796,4.770193,-5.031762,1167.8897531346456,LHW,CZ
16465,5.312698,24.442621,541.4141090473782,JDZ,CA
20534,-15.273771,21.764969,665.1203233358242,DCA,DL
18654,5.1392865,23.658989,559.2516288727064,JJN,CZ
23854,2.8823357,-26.360277,1680.5307647764057,LFW,ET
9084,-6.1171546,36.230927,386.3731483179364,ATL,AF
67437,6.7081914,-23.234482,1644.6260991446336,ZYI,ZH
56213,-5.929075,-15.660842,1377.4852521933265,DEN,UA
5105,-5.875975,35.145607,399.62924890611106,DCA,AA
25223,-16.566898,2.7537475,944.8785220556301,MCO,FL
24216,5.3028154,1.6582817,1024.785234389164,MDL,EY
56390,-11.989326,-7.088604,1140.636094136278,EWR,UA
57159,-8.236637,-12.18815,1263.7117426556288,MLM,UA
37614,-11.034266,-7.925216,1163.6353799800982,CLO,LA
32773,-14.017942,-4.639214,1084.5929689177433,MIA,IB
32299,0.16619954,36.97501,276.1540763332039,BCN,IB
34726,6.2688446,-20.365301,1553.3438825760197,NKG,JL
25002,-8.461404,33.741833,454.2716067467222,CMH,FL
16341,5.8847733,19.71987,644.1533689786311,HET,CA
57775,-14.416686,-2.8069084,1051.0278723054914,STL,UA
13781,-11.088739,29.622883,537.169252610054,YUL,AZ
25129,-0.85168916,-24.940287,1567.6171928927777,IND,FL
20772,18.471563,-37.603077,2406.9039632937524,GDL,DL
57110,-1.0480294,-23.450214,1520.2782941240916,MEM,UA
48224,1.9246849,37.69142,124.20083844294838,BOM,S2
32437,2.7196882,-25.192274,1639.5401066739696,CWL,IB
67108,3.7758555,-15.91416,1435.5848942587502,PEK,ZH
7083,-2.1737323,0.712357,1035.0912784581417,CDG,AB
4776,7.5778923,-22.193516,1619.938868381476,BNE,AA
41635,5.025805,-3.0580826,1120.2907991319964,HLD,MU
8173,-13.989371,26.498306,600.3671538332434,YQT,AC
