,Source,Dest,SourceID,DestID,SourceLon,DestLon,SourceLat,DestLat
4089,DEL,KUL,3093,3304,77.103104,101.70999908446998,28.5665,2.7455799579619997
4167,KUL,DEL,3304,3093,101.70999908446998,77.103104,2.7455799579619997,28.5665
4683,AMS,LHR,580,507,4.76389,-0.461941,52.308601,51.4706
4698,ATL,CLT,3682,3876,-84.428101,-80.94309997558594,33.6367,35.2140007019043
4700,ATL,LHR,3682,507,-84.428101,-0.461941,33.6367,51.4706
4702,ATL,ORD,3682,3830,-84.428101,-87.9048,33.6367,41.9786
4703,ATL,PHL,3682,3752,-84.428101,-75.24109649658203,33.6367,39.87189865112305
4704,ATL,PHX,3682,3462,-84.428101,-112.01200103759766,33.6367,33.43429946899414
4733,BCN,LHR,1218,507,2.0784599999999998,-0.461941,41.2971,51.4706
4815,BRU,LHR,302,507,4.48443984985,-0.461941,50.9014015198,51.4706
4861,CDG,LHR,1382,507,2.55,-0.461941,49.012798,51.4706
4893,CLT,ATL,3876,3682,-80.94309997558594,-84.428101,35.2140007019043,33.6367
5022,CLT,YYZ,3876,193,-80.94309997558594,-79.63059997559999,35.2140007019043,43.6772003174
5150,DEL,LHR,3093,507,77.103104,-0.461941,28.5665,51.4706
5153,DEN,LAX,3751,3484,-104.672996521,-118.40799709999999,39.861698150635,33.94250107
5154,DEN,LHR,3751,507,-104.672996521,-0.461941,39.861698150635,51.4706
5376,DUS,JFK,345,3797,6.766780000000001,-73.77890015,51.289501,40.63980103
5377,DUS,LAX,345,3484,6.766780000000001,-118.40799709999999,51.289501,33.94250107
5378,DUS,LHR,345,507,6.766780000000001,-0.461941,51.289501,51.4706
5379,DUS,MIA,345,3576,6.766780000000001,-80.29060363769531,51.289501,25.79319953918457
5382,DXB,LHR,2188,507,55.3643989563,-0.461941,25.252799987800003,51.4706
5400,EWR,HKG,3494,3077,-74.168701171875,113.915001,40.69250106811523,22.308901000000002
5401,EWR,LHR,3494,507,-74.168701171875,-0.461941,40.69250106811523,51.4706
5403,EWR,ORD,3494,3830,-74.168701171875,-87.9048,40.69250106811523,41.9786
5421,FCO,LHR,1555,507,12.238888900000001,-0.461941,41.800277799999996,51.4706
5441,FRA,LHR,340,507,8.570556,-0.461941,50.033333,51.4706
5511,HKG,EWR,3077,3494,113.915001,-74.168701171875,22.308901000000002,40.69250106811523
5512,HKG,JFK,3077,3797,113.915001,-73.77890015,22.308901000000002,40.63980103
5513,HKG,LAX,3077,3484,113.915001,-118.40799709999999,22.308901000000002,33.94250107
5515,HKG,ORD,3077,3830,113.915001,-87.9048,22.308901000000002,41.9786
5516,HKG,SFO,3077,3469,113.915001,-122.375,22.308901000000002,37.61899948120117
5552,IAH,LAX,3550,3484,-95.34140014648438,-118.40799709999999,29.98439979553223,33.94250107
5553,IAH,LHR,3550,507,-95.34140014648438,-0.461941,29.98439979553223,51.4706
5555,IAH,ORD,3550,3830,-95.34140014648438,-87.9048,29.98439979553223,41.9786
5579,IST,LHR,1701,507,28.8146,-0.461941,40.976898,51.4706
5611,JFK,DUS,3797,345,-73.77890015,6.766780000000001,40.63980103,51.289501
5618,JFK,HKG,3797,3077,-73.77890015,113.915001,40.63980103,22.308901000000002
5650,JFK,YYZ,3797,193,-73.77890015,-79.63059997559999,40.63980103,43.6772003174
5679,LAS,LGW,3877,502,-115.15200039999999,-0.190278,36.08010101,51.148102
5680,LAS,LHR,3877,507,-115.15200039999999,-0.461941,36.08010101,51.4706
5700,LAX,DEN,3484,3751,-118.40799709999999,-104.672996521,33.94250107,39.861698150635
5702,LAX,DUS,3484,345,-118.40799709999999,6.766780000000001,33.94250107,51.289501
5708,LAX,HKG,3484,3077,-118.40799709999999,113.915001,33.94250107,22.308901000000002
5711,LAX,IAH,3484,3550,-118.40799709999999,-95.34140014648438,33.94250107,29.98439979553223
5719,LAX,MAD,3484,1229,-118.40799709999999,-3.56264,33.94250107,40.471926
5722,LAX,MEX,3484,1824,-118.40799709999999,-99.072098,33.94250107,19.4363
5798,LGW,LAS,502,3877,-0.190278,-115.15200039999999,51.148102,36.08010101
5805,LHR,AMS,507,580,-0.461941,4.76389,51.4706,52.308601
5808,LHR,ATL,507,3682,-0.461941,-84.428101,51.4706,33.6367
5812,LHR,BCN,507,1218,-0.461941,2.0784599999999998,51.4706,41.2971
5819,LHR,BRU,507,302,-0.461941,4.48443984985,51.4706,50.9014015198
5823,LHR,CDG,507,1382,-0.461941,2.55,51.4706,49.012798
5827,LHR,DEL,507,3093,-0.461941,77.103104,51.4706,28.5665
