,x,y,label,href,title,author
1471,1.5997131,0.12261996,"['Art Nouveau (Modern)', 'history painting', '1916']",./artworks/images/Peter the Great meditating the Idea of building St. Petersburg at the Shore of the Baltic Sea_Benois Alexandre.jpg,Peter the Great meditating the Idea of building St. Petersburg at the Shore of the Baltic Sea,Benois Alexandre
312,-0.014441617,-0.26309344,"['Expressionism', 'figurative', '1968']",./artworks/images/Version No. 2 of Lying Figure with Hypodermic Syringe_Bacon Francis.jpg,Version No. 2 of Lying Figure with Hypodermic Syringe,Bacon Francis
749,-0.27834564,-1.0010687,"['Conceptual Art', 'installation', '1969']",./artworks/images/Trecento Millioni di anni (Three Hundred Million Years)_Anselmo Giovanni.jpg,Trecento Millioni di anni (Three Hundred Million Years),Anselmo Giovanni
1398,-0.96120507,-1.3054202,"['Minimalism', 'sculpture', '1982']",./artworks/images/Untitled_Bandau Joachim.jpg,Untitled,Bandau Joachim
594,2.1041212,-0.016010072,"['Art Nouveau (Modern)', 'design', '1894']",./artworks/images/Poor Folk by Dostoievsky_Beardsley Aubrey.jpg,Poor Folk by Dostoievsky,Beardsley Aubrey
482,-0.539253,-1.7713611,"['Color Field Painting', 'abstract', '2008']",./artworks/images/Highline Cottonwoods_Appleby Anne.jpg,Highline Cottonwoods,Appleby Anne
850,-0.28776205,0.7068323,"['Realism', 'portrait', '1907']",./artworks/images/A Rose_Anshutz Thomas Pollock.jpg,A Rose,Anshutz Thomas Pollock
772,-1.0735438,-1.6104368,"['Minimalism', 'abstract', '1976']",./artworks/images/75-76-D 174x164_Barre Martin.jpg,75-76-D 174x164,Barre Martin
1469,1.9826818,0.1718125,"['Art Nouveau (Modern)', 'design', '1912']","./artworks/images/Venetian celebration of the XVI century. Fragment. Set Design for an unrealized ballet ""The festivities""_Benois Alexandre.jpg","Venetian celebration of the XVI century. Fragment. Set Design for an unrealized ballet ""The festivities""",Benois Alexandre
91,1.5979253,-0.72464895,"['Dada', 'illustration', '1918']","./artworks/images/Illustration for Tristan Tzara's ""Vingt-cinq poèmes""_Arp Jean.jpg","Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",Arp Jean
784,-1.6595864,1.0092157,"['Mannerism (Late Renaissance)', 'religious painting', '1550']",./artworks/images/Madonna and Child with Saints_Bassano Jacopo.jpg,Madonna and Child with Saints,Bassano Jacopo
25,-0.9896898,-1.9342558,"['Abstract Expressionism', 'abstract', '1980']",./artworks/images/1980 - D4_Atsuko Tanaka.jpg,1980 - D4,Atsuko Tanaka
385,0.32278237,0.3177442,"['Expressionism', 'genre painting', '1979']",./artworks/images/Seated Figure_Bacon Francis.jpg,Seated Figure,Bacon Francis
1284,-0.5812972,1.7966092,"['Northern Renaissance', 'religious painting', '1518']","./artworks/images/Florian result, scenes for legend of St. Florian_Altdorfer Albrecht.jpg","Florian result, scenes for legend of St. Florian",Altdorfer Albrecht
1407,-1.0079108,-1.5183291,"['Minimalism', 'abstract', '2007']",./artworks/images/K8_Bandau Joachim.jpg,K8,Bandau Joachim
106,-0.7947835,-1.2712609,"['Surrealism', 'sculpture', '1935']",./artworks/images/Human Concretion_Arp Jean.jpg,Human Concretion,Arp Jean
336,-1.3168273,-0.3566329,"[None, None, '1971']",./artworks/images/Study of George Dyer_Bacon Francis.jpg,Study of George Dyer,Bacon Francis
1399,-0.9625662,-1.3084631,"['Minimalism', 'sculpture', '1986']",./artworks/images/Belgische Kiste IV-Trailer_Bandau Joachim.jpg,Belgische Kiste IV-Trailer,Bandau Joachim
1125,0.180889,-0.57975906,"['Pop Art', 'figurative', '1977']",./artworks/images/Ski-Urlauberin_Asmus Dieter.jpg,Ski-Urlauberin,Asmus Dieter
1466,2.0838847,0.27552143,"['Art Nouveau (Modern)', 'design', '1911']",./artworks/images/Blackamoor's Chamber. Fragment. Set Design_Benois Alexandre.jpg,Blackamoor's Chamber. Fragment. Set Design,Benois Alexandre
988,-0.48649713,0.0006485731,"['Abstract Art, Expressionism', 'marina', '1958']",./artworks/images/Sail_Avery Milton.jpg,Sail,Avery Milton
1051,0.8058072,1.2276063,"['Rococo', 'genre painting', '1785']","./artworks/images/El paseo de las Delicias, en Madrid_Bayeu y Subias Francisco.jpg","El paseo de las Delicias, en Madrid",Bayeu y Subias Francisco
1002,-1.2573576,-0.84075737,"[None, 'abstract', '2008']",./artworks/images/The Palm Mother_Al Raes Abdul Qader.jpg,The Palm Mother,Al Raes Abdul Qader
322,-1.2656754,-0.50558746,"[None, None, '1969']",./artworks/images/Three Studies of Henrietta Moraes_Bacon Francis.jpg,Three Studies of Henrietta Moraes,Bacon Francis
611,1.905977,-0.50219434,"['Art Nouveau (Modern)', 'illustration', '1894']",./artworks/images/Sir Launcelot and the Witch Hellawes_Beardsley Aubrey.jpg,Sir Launcelot and the Witch Hellawes,Beardsley Aubrey
216,-0.26979467,0.19443174,"['Expressionism', 'portrait', '1955']",./artworks/images/Figure Seated (the Cardinal)_Bacon Francis.jpg,Figure Seated (the Cardinal),Bacon Francis
741,0.3217496,0.76756144,"['Impressionism', 'marina', '1882']",./artworks/images/Port of Constantza_Aman Theodor.jpg,Port of Constantza,Aman Theodor
1117,0.22582717,-0.5653341,"['Pop Art', 'figurative', '1971']",./artworks/images/Springreiter_Asmus Dieter.jpg,Springreiter,Asmus Dieter
556,1.8490424,-0.5867235,"['Art Nouveau (Modern)', 'illustration', '1894']",./artworks/images/Lady Gold's Escort_Beardsley Aubrey.jpg,Lady Gold's Escort,Beardsley Aubrey
32,-0.948646,-1.9541835,"['Abstract Expressionism', 'abstract', '1993']",./artworks/images/Untitled (Painted with Akira Kanayama)_Atsuko Tanaka.jpg,Untitled (Painted with Akira Kanayama),Atsuko Tanaka
1400,-1.0320938,-1.5130872,"['Minimalism', 'abstract', '1986']",./artworks/images/Untitled (La Gomera)_Bandau Joachim.jpg,Untitled (La Gomera),Bandau Joachim
467,-0.48195913,-1.8305447,"['Color Field Painting', 'abstract', '1999']",./artworks/images/Winter_Appleby Anne.jpg,Winter,Appleby Anne
57,0.448187,0.43640992,"['Neo-Expressionism, Outsider art', 'genre painting', '1975']",./artworks/images/At the Clef Club (Piano Player)_Bearden Romare.jpg,At the Clef Club (Piano Player),Bearden Romare
249,-0.33511657,0.22959052,"['Expressionism', 'portrait', '1961']",./artworks/images/Head III_Bacon Francis.jpg,Head III,Bacon Francis
557,1.8313088,-0.6225868,"['Art Nouveau (Modern)', 'illustration', '1894']",./artworks/images/Madame Rejane_Beardsley Aubrey.jpg,Madame Rejane,Beardsley Aubrey
1090,-0.8763129,0.78742874,"['Baroque', 'religious painting', '1754']",./artworks/images/An icon from the iconostasis of the St. Andrew's Church in Kiev_Antropov Aleksey.jpg,An icon from the iconostasis of the St. Andrew's Church in Kiev,Antropov Aleksey
1110,-0.8033268,0.640705,"['Baroque', 'portrait', '1774']",./artworks/images/Portrait of archbishop Gavriil Petrov_Antropov Aleksey.jpg,Portrait of archbishop Gavriil Petrov,Antropov Aleksey
1218,0.8923507,1.4141,"['Rococo', 'panorama', '1759']","./artworks/images/The Belvedere from Gesehen, Vienna_Bellotto Bernardo.jpg","The Belvedere from Gesehen, Vienna",Bellotto Bernardo
136,-0.825591,-0.38897163,"[None, None, '1930']",./artworks/images/Painting_Bacon Francis.jpg,Painting,Bacon Francis
1127,0.3206891,-0.54814786,"['Pop Art', 'animal painting', '1978']",./artworks/images/Gepard_Asmus Dieter.jpg,Gepard,Asmus Dieter
244,-0.25753263,0.31249708,"['Expressionism', 'portrait', '1960']",./artworks/images/Head of a Woman_Bacon Francis.jpg,Head of a Woman,Bacon Francis
763,-0.95496446,-1.5894927,"['Minimalism', 'abstract', '1963']",./artworks/images/63-M-3_Barre Martin.jpg,63-M-3,Barre Martin
774,-1.0375832,-1.5861907,"['Minimalism', 'abstract', '1977']","./artworks/images/76-77-C-147,5x140_Barre Martin.jpg","76-77-C-147,5x140",Barre Martin
990,-0.3235001,-0.008407139,"['Expressionism', 'marina', '1959']",./artworks/images/Black Sea_Avery Milton.jpg,Black Sea,Avery Milton
1421,1.0800333,-0.3309689,"['Art Nouveau (Modern)', 'cityscape', '1900']",./artworks/images/Peterhof Palace. Lion cascade and colonnade_Benois Alexandre.jpg,Peterhof Palace. Lion cascade and colonnade,Benois Alexandre
