id,event_date,event_name,category,place,location,point,start,end,start_mo,start_year,end_mo,end_year,lon,lat
106,2015-05-01-2025-05-01,Broń i Barwa w Polsce,Wystawy stałe, al. 3 Maja 1 Krakow,"Muzeum Narodowe w Krakowie, 1, Aleja 3 Maja, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, małopolskie, 30-062, RP","[50.06043135, 19.9236201200417]",2015/05/01,2025/05/01,5,2015,5.0,2025.0,50.06043135,19.9236201200417
332,2016-07-01-2050-12-31,Stała wystawa Muzeum Lotnictwa Polskiego,Wystawy stałe, al. Jana Pawła II 39 Krakow,"39, Aleja Jana Pawła II, Mogiła, Nowa Huta, Kraków, małopolskie, 31-864, RP","[50.07707905, 19.9898487754398]",2016/07/01,2050/12/31,7,2016,12.0,2050.0,50.07707905,19.9898487754398
333,2016-07-01-2050-07-01,Cyberteka. Kraków – czas i przestrzeń,Wystawy stałe,"Pałac Krzysztofory, Rynek Główny 35","Pałac Pod Krzysztofory, 35, Rynek Główny, Stare Miasto, Kraków, małopolskie, 31-013, RP","[50.0628919, 19.9363629584546]",2016/07/01,2050/07/01,7,2016,7.0,2050.0,50.0628919,19.9363629584546
334,2016-07-01-2050-07-01,Peruwiańskie zbiory Władysława Klugera,Wystawy stałe,"Muzeum Archeologiczne, ul. Poselska 3","Muzeum Archeologiczne, Poselska, Stare Miasto, Kraków, małopolskie, 31-044, RP","[50.0575486, 19.9359363129697]",2016/07/01,2050/07/01,7,2016,7.0,2050.0,50.0575486,19.9359363129697
335,2016-07-01-2050-12-31,Pradzieje i wczesne średniowiecze Małopolski,Wystawy stałe,"Muzeum Archeologiczne, ul. Poselska 3","Muzeum Archeologiczne, Poselska, Stare Miasto, Kraków, małopolskie, 31-044, RP","[50.0575486, 19.9359363129697]",2016/07/01,2050/12/31,7,2016,12.0,2050.0,50.0575486,19.9359363129697
336,2016-07-01-2050-07-01,Skrzydła Wielkiej Wojny,Wystawy stałe, al. Jana Pawła II 39 Krakow,"39, Aleja Jana Pawła II, Mogiła, Nowa Huta, Kraków, małopolskie, 31-864, RP","[50.07707905, 19.9898487754398]",2016/07/01,2050/07/01,7,2016,7.0,2050.0,50.07707905,19.9898487754398
339,2016-07-01-2050-12-31,Stała wystawa Muzeum Uniwersytetu Jagiellońskiego,Wystawy stałe,"Muzeum Uniwersytetu Jagiellońskiego, ul. Jagiellońska 15","Muzeum Uniwersytetu Jagiellońskiego, Jagiellońska, Stare Miasto, Kraków, małopolskie, 31-010, RP","[50.0615617, 19.9337367]",2016/07/01,2050/12/31,7,2016,12.0,2050.0,50.0615617,19.9337367
341,2016-07-01-2050-07-01,Bogowie Starożytnego Egiptu,Wystawy stałe,"Muzeum Archeologiczne, ul. Poselska 3","Muzeum Archeologiczne, Poselska, Stare Miasto, Kraków, małopolskie, 31-044, RP","[50.0575486, 19.9359363129697]",2016/07/01,2050/07/01,7,2016,7.0,2050.0,50.0575486,19.9359363129697
342,2016-07-01-2050-07-01,Wystawa w Muzeum Katedralnym,Wystawy stałe, Wawel 3 Krakow,"Wawel, Stare Miasto, Kraków, małopolskie, 31-001, RP","[50.0539361, 19.9348092]",2016/07/01,2050/07/01,7,2016,7.0,2050.0,50.0539361,19.9348092
344,2016-07-01-2050-12-01,Mieszkanie przedmiejskie przed stu laty,Wystawy stałe,"Dom Zwierzyniecki, ul. Królowej Jadwigi 41","Dom Zwierzyniecki, 41, Królowej Jadwigi, Salwator, Zwierzyniec, Kraków, małopolskie, 30-209, RP","[50.0550023, 19.908853]",2016/07/01,2050/12/01,7,2016,12.0,2050.0,50.0550023,19.908853
346,2016-07-01-2050-07-01,Nieobjęta ziemia,Wystawy stałe, ul. Krakowska 46 Krakow,"Krakowska, Kazimierz, Stare Miasto, Kraków, małopolskie, 30-510, RP","[50.0461389, 19.9443497]",2016/07/01,2050/07/01,7,2016,7.0,2050.0,50.0461389,19.9443497
347,2016-07-01-2050-12-31,Dzieje najstarsze i stare gmachu Muzeum Archeologicznego w Krakowie,Wystawy stałe,"Muzeum Archeologiczne, ul. Poselska 3","Muzeum Archeologiczne, Poselska, Stare Miasto, Kraków, małopolskie, 31-044, RP","[50.0575486, 19.9359363129697]",2016/07/01,2050/12/31,7,2016,12.0,2050.0,50.0575486,19.9359363129697
